INFO:root:Code: BCH.63.45
INFO:root:mRRD Size 1, 10
INFO:root:Loss: 0.098468
INFO:root:Loss: 0.093917
INFO:root:Loss: 0.094890
INFO:root:Loss: 0.092357
INFO:root:Loss: 0.081008
INFO:root:EPOCH: 2
INFO:root:Loss: 0.068748
INFO:root:Loss: 0.085155
INFO:root:Loss: 0.079114
INFO:root:Loss: 0.089557
INFO:root:Loss: 0.087554
INFO:root:Loss: 0.108300
INFO:root:Loss: 0.095299
INFO:root:Loss: 0.096863
INFO:root:Loss: 0.092042
INFO:root:Loss: 0.094042
INFO:root:Loss: 0.102335
INFO:root:Loss: 0.085825
INFO:root:Loss: 0.087290
INFO:root:Loss: 0.097151
INFO:root:Loss: 0.086819
INFO:root:Loss: 0.089918
INFO:root:Loss: 0.091744
INFO:root:Loss: 0.074547
INFO:root:Loss: 0.099433
INFO:root:Loss: 0.105166
INFO:root:Loss: 0.091103
INFO:root:Loss: 0.076602
INFO:root:Loss: 0.082283
INFO:root:Loss: 0.091445
INFO:root:Loss: 0.086346
INFO:root:Loss: 0.086153
INFO:root:Loss: 0.088105
INFO:root:Loss: 0.094265
INFO:root:Loss: 0.090066
INFO:root:Loss: 0.088580
INFO:root:Loss: 0.097032
INFO:root:Loss: 0.100798
INFO:root:Loss: 0.073705
INFO:root:Loss: 0.091444
INFO:root:Loss: 0.097543
INFO:root:Loss: 0.068841
INFO:root:Loss: 0.092983
INFO:root:Loss: 0.090024
INFO:root:Loss: 0.102464
INFO:root:Loss: 0.084226
INFO:root:Loss: 0.091961
INFO:root:Loss: 0.090112
INFO:root:Loss: 0.085685
INFO:root:Loss: 0.083759
INFO:root:Loss: 0.080701
INFO:root:Loss: 0.070924
INFO:root:Loss: 0.102155
INFO:root:Loss: 0.081650
INFO:root:Loss: 0.091459
INFO:root:Loss: 0.084482
INFO:root:Loss: 0.091122
INFO:root:Loss: 0.089256
INFO:root:Loss: 0.079057
INFO:root:Loss: 0.101559
INFO:root:Loss: 0.104068
INFO:root:Loss: 0.097869
INFO:root:Loss: 0.083554
INFO:root:Loss: 0.076403
INFO:root:Loss: 0.090921
INFO:root:Loss: 0.104978
INFO:root:Loss: 0.095906
INFO:root:Loss: 0.111347
INFO:root:Loss: 0.075804
INFO:root:Loss: 0.090805
INFO:root:Loss: 0.110815
INFO:root:Loss: 0.096725
INFO:root:Loss: 0.086347
INFO:root:Loss: 0.079239
INFO:root:Loss: 0.086025
INFO:root:Loss: 0.091460
INFO:root:Loss: 0.090173
INFO:root:Loss: 0.094237
INFO:root:Loss: 0.072069
INFO:root:Loss: 0.077265
INFO:root:Loss: 0.097209
INFO:root:Loss: 0.096517
INFO:root:Loss: 0.105316
